0,80.0,80.0
1,80.0,80.0
2,80.0,80.0
3,80.0,80.0
4,80.0,80.0
5,80.0,80.0
6,80.0,80.0
7,80.0,80.0
8,80.0,80.0
9,80.0,80.0
10,80.0,80.0
11,80.0,80.0
12,80.0,80.0
13,80.0,80.0
14,80.0,80.0
15,80.0,80.0
16,71.6,67.75
17,55.5,65.65
18,59.7,55.2
19,54.9,56.8
20,53.9,53.9
21,55.2,55.2
22,51.6,54.25
23,53.3,51.6
24,51.6,53.75
25,54.2,51.6
26,51.6,55.2
27,56.2,53.900000000000006
28,56.2,56.2
29,57.1,57.1
30,65.4,63.7
31,70.3,65.95
32,66.5,70.65
33,71.0,70.35
34,74.2,70.65
35,70.3,70.35
36,66.5,69.19999999999999
37,68.1,67.6
38,68.7,68.7
39,69.7,69.7
40,68.7,68.7
41,70.3,68.15
42,67.6,70.65
43,71.0,67.85
44,68.1,70.65
45,70.3,66.75
46,65.4,68.65
47,67.0,69.15
48,72.9,69.95
49,72.9,72.9
50,68.7,71.05000000000001
51,69.2,69.2
52,67.0,68.65
53,68.1,68.1
54,65.4,64.35
55,60.6,61.900000000000006
56,58.4,56.95
57,53.3,55.349999999999994
58,52.3,52.3
59,49.3,50.55
60,48.8,48.8
61,47.3,47.3
62,46.1,46.1
63,43.6,43.35
64,40.6,40.3
65,37.0,38.45
66,36.3,36.3
67,35.1,35.1
68,34.1,34.1
69,32.8,32.8
70,31.4,31.4
71,30.1,30.1
72,29.0,29.0
73,27.5,27.5
74,27.7,27.7
75,26.5,26.5
76,25.3,25.3
77,24.7,24.7
78,24.3,24.3
79,23.4,23.4
80,22.9,22.9
81,22.4,22.4
82,21.6,21.6
83,21.1,21.1
84,20.2,20.2
85,20.0,20.0
86,19.3,19.3
87,19.2,19.2
88,18.9,18.9
89,18.5,18.5
90,18.5,18.5
91,20.0,20.0
92,20.0,20.0
93,20.0,20.0
94,19.6,19.6
95,19.2,19.2
96,19.2,19.2
97,19.0,19.0
98,18.8,18.8
99,18.3,18.3
100,18.3,18.3
101,17.8,17.8
102,17.5,17.5
103,17.2,17.2
104,16.8,16.8
105,16.4,16.4
106,16.1,16.1
107,15.8,15.8
108,15.4,15.4
109,15.4,15.4
110,14.9,14.9
111,14.9,14.9
112,14.7,14.7
113,14.6,14.6
114,14.5,14.5
115,14.5,14.5
116,14.4,14.4
117,14.2,14.2
118,14.2,14.2
119,14.1,14.1
120,13.9,13.9
121,13.8,13.8
122,13.7,13.7
123,13.6,13.6
124,13.6,13.6
125,13.7,13.7
126,13.5,13.5
127,13.4,13.4
128,13.5,13.5
129,13.3,13.3
130,13.4,13.4
131,13.3,13.3
132,13.4,13.4
133,13.3,13.3
134,13.3,13.3
135,13.2,13.2
136,13.2,13.2
137,13.2,13.2
138,13.1,13.1
139,13.3,13.3
140,13.4,13.4
141,13.3,13.3
142,13.2,13.2
143,13.4,13.4
144,13.0,13.0
145,13.3,13.3
146,13.5,13.5
147,13.4,13.4
148,13.5,13.5
149,13.7,13.7
150,13.4,13.4
151,13.6,13.6
152,13.8,13.8
153,14.0,14.0
154,13.9,13.9
155,14.1,14.1
156,13.9,13.9
157,14.2,14.2
158,14.3,14.3
159,14.5,14.5
160,14.5,14.5
161,14.6,14.6
162,14.6,14.6
163,14.7,14.7
164,15.0,15.0
165,15.3,15.3
166,15.5,15.5
167,15.8,15.8
168,16.1,16.1
169,16.3,16.3
170,16.4,16.4
171,17.0,17.0
172,17.4,17.4
173,17.5,17.5
174,17.8,17.8
175,18.3,18.3
176,18.0,18.0
177,18.2,18.2
178,18.6,18.6
179,18.9,18.9
180,16.9,18.5
181,18.1,18.1
182,18.0,18.0
183,18.1,18.1
184,18.2,18.2
185,18.4,18.4
