0.05,0,1276
0.1,3072,3072
0.15000000000000002,4870,4872
0.2,6670,6672
0.25,8469,8469
0.3,10267,10272
0.35,12072,12076
0.39999999999999997,13878,13884
0.44999999999999996,15693,15692
0.49999999999999994,17497,17501
0.5499999999999999,19318,19320
0.6,21121,21116
0.65,22914,22912
0.7000000000000001,24721,24720
0.7500000000000001,26534,26532
0.8000000000000002,28348,28344
0.8500000000000002,30155,30156
0.9000000000000002,31954,31960
0.9500000000000003,33762,33764
1.0000000000000002,35580,35583
1.0500000000000003,37381,37384
1.1000000000000003,39196,39204
1.1500000000000004,41002,41016
1.2000000000000004,42828,42823
1.2500000000000004,44638,44643
1.3000000000000005,46450,46453
1.3500000000000005,48270,48265
1.4000000000000006,50069,50076
1.4500000000000006,51892,51896
1.5000000000000007,53708,53708
1.5500000000000007,55534,55532
1.6000000000000008,57332,57332
1.6500000000000008,59135,59124
1.7000000000000008,60937,60928
1.7500000000000009,62725,62733
1.800000000000001,64557,64561
1.850000000000001,66369,66366
1.900000000000001,68167,68171
1.950000000000001,70055,70057
