0,0,0,-3.2443,,
0.1,7,8,6.4007,4877,4884
0.15,13,11,11.2232,6687,6700
0.2,16,14,16.0457,8496,8512
0.25,23,22,20.8682,10309,10332
0.3,26,23,25.6907,12130,12156
0.35,31,32,30.5132,13957,13988
0.4,31,37,35.3357,15785,15816
0.45,42,36,40.1582,17622,17664
0.5,53,43,44.9807,19467,19520
0.55,63,50,49.8032,21325,21388
0.6,52,56,54.6257,23192,23244
0.65,63,62,59.4482,25053,25116
0.7,63,62,64.2707,26921,26984
0.75,77,65,69.0932,28795,28872
0.8,82,80,73.9157,30674,30756
0.85,79,82,78.7382,32561,32640
0.9,85,95,83.5607,34451,34536
0.95,99,93,88.3832,36341,36440
1,93,85,93.2057,38237,38330
1.05,93,90,98.0282,40131,40224
1.1,116,108,102.8507,42025,42141
1.15,109,108,107.6732,43983,44092
1.2,112,114,112.4957,45891,46003
1.25,122,113,117.3182,47810,47932
1.3,130,117,122.1407,49750,49880
1.35,128,127,126.9632,51684,51812
1.4,131,127,131.7857,53613,53744
1.45,140,141,136.6082,55552,55692
1.5,151,137,141.4307,57510,57661
1.55,155,163,146.2532,59469,59624
1.6,137,155,151.0757,61424,61561
1.65,164,155,155.8982,63360,63524
1.7,172,155,160.7207,65356,65528
1.75,165,153,165.5432,67327,67492
1.8,182,164,170.3657,69310,69492
1.85,169,186,175.1882,71319,71488
1.9,166,176,180.0107,73322,73488
1.95,182,190,184.8332,75310,75492
